MaritalStatus,EmployeeNationalIDAlternateKey,BirthDate
S,253022876,1986-12-01
M,571658797,1985-12-28
S,761597760,1988-07-05
S,276751903,1989-12-15
S,630184120,1988-09-05
S,545337468,1989-12-15
M,713403643,1988-11-13
S,295971920,1989-01-23
S,95958330,1986-12-19
M,370989364,1987-03-27
S,540688287,1989-11-26
S,918737118,1985-07-25
M,674171828,1986-04-08
S,502058701,1987-12-15
M,54759846,1987-02-14
M,435234965,1985-06-24
S,368920189,1986-07-01
S,811994146,1986-01-03
M,330211482,1988-02-04
M,693325305,1988-06-19
M,750246141,1985-12-18
M,19312190,1988-06-26
S,212801092,1988-09-15
S,420023788,1989-06-06
M,199546871,1986-09-10
S,830150469,1990-08-04
M,992874797,1986-09-10
S,733022683,1988-07-07
S,381772114,1985-11-28
M,364818297,1986-05-24
M,886023130,1990-06-04
M,749211824,1987-04-06
S,92096924,1989-03-09
S,563680513,1990-12-29
S,87268837,1987-02-12
M,539490372,1988-07-16
S,242381745,1986-10-10
M,981495526,1987-07-22
S,585408256,1985-08-05
M,167554340,1990-06-01
M,410742000,1989-04-28
M,131471224,1988-10-26
M,259388196,1988-08-08
S,519899904,1988-02-04
S,314747499,1987-10-12
M,25011600,1987-06-22
S,436757988,1989-06-10
M,652535724,1988-02-04
M,377784364,1989-11-11
M,134969118,1986-09-24
S,551834634,1989-12-22
M,305522471,1985-11-03
S,370581729,1985-10-19
M,227319668,1988-05-17
M,860123571,1985-04-23
S,273260055,1990-05-07
S,578935259,1988-08-29
S,752513276,1990-11-04
M,754372876,1987-01-08
M,599942664,1990-03-04
S,33237992,1988-04-06
M,1300049,1985-11-07
S,334834274,1989-01-13
S,399658727,1987-10-13
M,500412746,1985-08-10
M,652779496,1990-06-01
M,912141525,1989-08-25
M,243322160,1985-09-04
S,211789056,1987-01-04
S,65848458,1988-04-24
M,260805477,1986-12-24
S,442121106,1986-03-07
S,300946911,1986-07-08
M,440379437,1987-12-09
S,455563743,1986-04-22
M,717889520,1986-04-19
S,801365500,1986-04-19
M,109272464,1986-04-10
S,390124815,1986-04-13
S,90888098,1986-04-10
M,393421437,1986-05-01
S,82638150,1986-04-07
S,561196580,1986-04-28
M,826454897,1986-05-01
M,486228782,1988-12-26
